	user	real	kernel
GEN_EXT_FORC_TO	28.56	4.8	1.22
GEN_EXT_FORC_TXTYTZ	15.23	1.39	1.05
GEN_INERT_FORC	144.78	39.9	4.96
GEN_INERT_FORC_TO	99.03	26.17	1.89
GEN_INTER_FORC_TO	397.53	109.38	3.02
GEN_INTER_FORC_TXTYTZ	657.49	173.67	8.6
Metafor	5095.16	2040.89	1430.36
ObjectiveFunction	0	0	0
ValuesManager	118.14	118.66	0.1
buildK_TO	194.4	54.08	0.67
buildK_TXTYTZ	1464.25	370.47	4.7
contactDetection	91.52	73.23	6.26
prepro	2.08	2.06	0.19
saveFacs	495.39	340.25	618.45
solveK_TO	165.7	41.13	2.04
solveK_TXTYTZ	372.71	105.36	5.5
