	user	real	kernel
GEN_EXT_FORC_TO	21.83	6.04	0.42
GEN_EXT_FORC_TXTYTZ	16.06	1.49	0.65
GEN_INERT_FORC	477.88	125.45	5.47
GEN_INERT_FORC_TO	396.88	103.89	3.64
GEN_INTER_FORC_TO	698.02	184.02	4.29
GEN_INTER_FORC_TXTYTZ	1152.57	300.41	8.85
Metafor	6439.01	2755.14	1513
ObjectiveFunction	0.03	0	0
ValuesManager	171.95	172.38	0.07
buildK_TO	317.81	85.89	1.24
buildK_TXTYTZ	724.71	185.38	3.89
contactDetection	185.47	166.97	1.74
prepro	1.53	1.56	0.24
saveFacs	757.01	525.82	907.69
solveK_TO	157.68	37.53	2.6
solveK_TXTYTZ	346.98	93.33	4.58
